epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6441,0.88704,2.32132,0.58308,0.48835,0.24461,0.18166,0.12242,0.35333,1.05636,0.20497,0.00044299,0.00044299,0.00044299
2,24.4158,0.46518,0.64675,0.22296,0.55381,0.92883,0.72275,0.4792,0.35204,0.71689,0.19963,0.000882445,0.000882445,0.000882445
3,37.9681,0.4201,0.56291,0.19569,0.63375,0.88511,0.7534,0.48137,0.33687,0.65788,0.18878,0.00130379,0.00130379,0.00130379
4,51.2261,0.40316,0.62344,0.18766,0.72288,0.95049,0.8733,0.59343,0.32589,0.95869,0.18098,0.00134412,0.00134412,0.00134412
5,64.6996,0.38681,0.58412,0.18027,0.79296,0.87241,0.8547,0.5824,0.32207,0.56451,0.1881,0.00131582,0.00131582,0.00131582
6,76.5899,0.36357,0.52649,0.16952,0.72999,0.93183,0.8727,0.59645,0.31327,0.59299,0.17789,0.00128753,0.00128753,0.00128753
7,89.9863,0.37346,0.51948,0.16904,0.78045,0.92563,0.88278,0.62025,0.30747,0.57845,0.17577,0.00125923,0.00125923,0.00125923
8,103.475,0.36223,0.50658,0.16033,0.78234,0.87344,0.85132,0.58801,0.31253,0.5949,0.18172,0.00123094,0.00123094,0.00123094
9,116.375,0.34863,0.50411,0.15678,0.76892,0.89709,0.86732,0.60953,0.30259,0.56167,0.17142,0.00120265,0.00120265,0.00120265
10,129.123,0.35992,0.50101,0.15796,0.79923,0.90678,0.88559,0.61997,0.30792,0.61774,0.17569,0.00117435,0.00117435,0.00117435
11,141.342,0.3483,0.50068,0.15132,0.80916,0.86565,0.88212,0.61054,0.30713,0.54667,0.17323,0.00114606,0.00114606,0.00114606
12,153.381,0.35023,0.49789,0.16006,0.76076,0.92469,0.8686,0.61582,0.29706,0.65665,0.16481,0.00111776,0.00111776,0.00111776
13,165.328,0.34674,0.49577,0.15477,0.77818,0.77357,0.7839,0.55207,0.30516,0.60128,0.17014,0.00108947,0.00108947,0.00108947
14,177.687,0.33699,0.48057,0.15342,0.78398,0.89699,0.88779,0.62309,0.30575,0.5727,0.17629,0.00106118,0.00106118,0.00106118
15,191.125,0.32986,0.48594,0.15288,0.80579,0.88369,0.88909,0.62612,0.29601,0.56171,0.16454,0.00103288,0.00103288,0.00103288
16,204.29,0.33696,0.48487,0.15317,0.77682,0.89677,0.8802,0.61892,0.30918,0.59279,0.17502,0.00100459,0.00100459,0.00100459
17,216.532,0.34058,0.48773,0.15084,0.80375,0.88924,0.88271,0.62756,0.30233,0.5688,0.17337,0.000976293,0.000976293,0.000976293
18,230.072,0.32896,0.48166,0.14417,0.78034,0.90584,0.89177,0.63443,0.29585,0.59035,0.16953,0.000947999,0.000947999,0.000947999
19,243.356,0.32785,0.46631,0.14202,0.78594,0.87004,0.87012,0.61954,0.2983,0.57892,0.16802,0.000919704,0.000919704,0.000919704
20,255.563,0.32422,0.47314,0.15014,0.7797,0.89121,0.87776,0.62328,0.29507,0.58323,0.16613,0.00089141,0.00089141,0.00089141
21,267.635,0.32557,0.47586,0.14732,0.79997,0.87741,0.88461,0.63391,0.29563,0.54948,0.16544,0.000863116,0.000863116,0.000863116
22,279.828,0.31841,0.46451,0.1397,0.75444,0.92202,0.87799,0.62018,0.3028,0.58422,0.17459,0.000834822,0.000834822,0.000834822
23,291.918,0.3151,0.46534,0.14132,0.79013,0.91206,0.88213,0.62467,0.30839,0.59711,0.17558,0.000806528,0.000806528,0.000806528
24,303.982,0.31841,0.46627,0.14252,0.80062,0.8924,0.8779,0.62154,0.29952,0.58166,0.16871,0.000778233,0.000778233,0.000778233
25,316.026,0.30592,0.45342,0.13722,0.78331,0.86793,0.8708,0.61812,0.30197,0.57904,0.1718,0.000749939,0.000749939,0.000749939
26,328.53,0.32223,0.45915,0.13928,0.8127,0.89517,0.88274,0.63064,0.30022,0.56277,0.17131,0.000721645,0.000721645,0.000721645
27,340.64,0.31471,0.46457,0.14302,0.78767,0.887,0.8806,0.622,0.30473,0.57003,0.17606,0.000693351,0.000693351,0.000693351
28,352.797,0.31454,0.45772,0.13585,0.78393,0.88605,0.86925,0.62491,0.29832,0.57742,0.16848,0.000665057,0.000665057,0.000665057
29,365.201,0.31258,0.45486,0.14195,0.77963,0.88437,0.86192,0.62012,0.29928,0.59037,0.17067,0.000636762,0.000636762,0.000636762
30,377.18,0.30129,0.45465,0.13007,0.81474,0.86197,0.87142,0.61523,0.30187,0.58132,0.1723,0.000608468,0.000608468,0.000608468
31,389.361,0.29823,0.45021,0.13296,0.81063,0.8898,0.87836,0.62323,0.30608,0.61056,0.17202,0.000580174,0.000580174,0.000580174
32,401.584,0.30095,0.45131,0.13106,0.81665,0.88062,0.88744,0.62636,0.29547,0.57605,0.16501,0.00055188,0.00055188,0.00055188
33,413.189,0.29602,0.44705,0.12873,0.78469,0.89773,0.88245,0.63505,0.29422,0.56705,0.16307,0.000523586,0.000523586,0.000523586
34,426.167,0.29523,0.43343,0.12949,0.77525,0.88495,0.86681,0.62191,0.3036,0.59032,0.16946,0.000495291,0.000495291,0.000495291
35,438.302,0.2902,0.43522,0.13043,0.75494,0.89246,0.86715,0.61095,0.30603,0.58682,0.16754,0.000466997,0.000466997,0.000466997
36,450.035,0.29399,0.44313,0.12974,0.77237,0.90138,0.87456,0.62094,0.30963,0.5965,0.1762,0.000438703,0.000438703,0.000438703
37,461.712,0.28665,0.42721,0.12336,0.7986,0.87687,0.87454,0.62646,0.30812,0.58411,0.17414,0.000410409,0.000410409,0.000410409
38,473.3,0.28657,0.42009,0.12808,0.78889,0.85853,0.86615,0.62228,0.30418,0.60061,0.16996,0.000382115,0.000382115,0.000382115
39,484.849,0.28116,0.4252,0.1234,0.7844,0.86868,0.86591,0.62376,0.30929,0.61643,0.1731,0.00035382,0.00035382,0.00035382
40,496.463,0.29167,0.42252,0.12582,0.78376,0.87022,0.87204,0.62354,0.30761,0.60162,0.16927,0.000325526,0.000325526,0.000325526
41,509.583,0.26811,0.42484,0.13755,0.81537,0.88922,0.88398,0.62907,0.31254,0.55369,0.17776,0.000297232,0.000297232,0.000297232
42,521.139,0.26476,0.41604,0.1361,0.83508,0.87705,0.88969,0.63047,0.3064,0.53146,0.17387,0.000268938,0.000268938,0.000268938
43,532.721,0.25824,0.4082,0.13296,0.81326,0.87603,0.88256,0.62986,0.30969,0.56499,0.17053,0.000240644,0.000240644,0.000240644
44,544.217,0.25533,0.39893,0.12973,0.81086,0.88702,0.88638,0.63166,0.32044,0.55615,0.17891,0.000212349,0.000212349,0.000212349
45,555.897,0.25231,0.39983,0.12911,0.8092,0.89342,0.8938,0.63601,0.31082,0.565,0.17392,0.000184055,0.000184055,0.000184055
46,569.151,0.25136,0.38598,0.12561,0.82695,0.86859,0.89251,0.63196,0.31692,0.5501,0.17645,0.000155761,0.000155761,0.000155761
47,581.049,0.24528,0.38051,0.1182,0.82007,0.8633,0.88414,0.63146,0.32509,0.56435,0.17995,0.000127467,0.000127467,0.000127467
48,592.615,0.24523,0.38403,0.12472,0.80919,0.89559,0.89096,0.63689,0.31265,0.56887,0.17334,9.91726e-05,9.91726e-05,9.91726e-05
49,605.89,0.24541,0.37842,0.12388,0.81443,0.88948,0.88943,0.63441,0.31321,0.56994,0.17358,7.08784e-05,7.08784e-05,7.08784e-05
50,617.45,0.24683,0.37479,0.12713,0.8107,0.86779,0.88343,0.63122,0.31561,0.57119,0.17444,4.25842e-05,4.25842e-05,4.25842e-05
