epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8423,0.89746,2.35838,0.58416,0.46125,0.24094,0.15089,0.09854,0.35902,1.04394,0.20812,0.00044299,0.00044299,0.00044299
2,27.5112,0.47532,0.65602,0.22792,0.49139,0.89623,0.74265,0.45617,0.43827,0.73886,0.25739,0.000882445,0.000882445,0.000882445
3,40.8462,0.43333,0.56249,0.20226,0.65346,0.91612,0.8504,0.56024,0.32299,0.58121,0.18334,0.00130379,0.00130379,0.00130379
4,54.2371,0.41213,0.58935,0.1917,0.75407,0.84422,0.83582,0.55386,0.32407,0.56988,0.18028,0.00134412,0.00134412,0.00134412
5,65.8113,0.39778,0.56772,0.18822,0.72583,0.9055,0.82483,0.57381,0.30836,0.57258,0.17335,0.00131582,0.00131582,0.00131582
6,78.9193,0.3718,0.5471,0.17235,0.69354,0.93403,0.86225,0.60017,0.30567,0.61284,0.17078,0.00128753,0.00128753,0.00128753
7,92.166,0.37434,0.52092,0.17225,0.79245,0.86384,0.85888,0.60236,0.30454,0.58227,0.1704,0.00125923,0.00125923,0.00125923
8,105.238,0.37172,0.50867,0.16521,0.7499,0.93396,0.86362,0.60566,0.3037,0.55562,0.17453,0.00123094,0.00123094,0.00123094
9,118.479,0.34911,0.50666,0.15622,0.78629,0.89857,0.87997,0.61946,0.29531,0.55743,0.16641,0.00120265,0.00120265,0.00120265
10,131.744,0.35931,0.50165,0.15814,0.77514,0.88996,0.86163,0.61005,0.29135,0.61054,0.16243,0.00117435,0.00117435,0.00117435
11,143.384,0.34214,0.49923,0.14841,0.79439,0.90682,0.87552,0.62277,0.29353,0.56988,0.16393,0.00114606,0.00114606,0.00114606
12,157.12,0.35236,0.49708,0.16277,0.78706,0.88578,0.86582,0.6024,0.29478,0.55213,0.16212,0.00111776,0.00111776,0.00111776
13,168.824,0.34786,0.5005,0.15679,0.77107,0.89894,0.86743,0.61046,0.2965,0.56284,0.1638,0.00108947,0.00108947,0.00108947
14,180.529,0.33957,0.48201,0.15577,0.78809,0.91273,0.879,0.61428,0.30604,0.56647,0.17415,0.00106118,0.00106118,0.00106118
15,192.265,0.32649,0.48857,0.15284,0.78081,0.9063,0.86938,0.61694,0.29393,0.5342,0.16378,0.00103288,0.00103288,0.00103288
16,204.051,0.3332,0.4811,0.151,0.77182,0.92634,0.8828,0.62647,0.2975,0.57004,0.16631,0.00100459,0.00100459,0.00100459
17,217.177,0.34041,0.48437,0.15021,0.79235,0.89476,0.86951,0.62216,0.28781,0.57403,0.15858,0.000976293,0.000976293,0.000976293
18,228.877,0.33298,0.48141,0.14727,0.77275,0.87687,0.88171,0.62721,0.2932,0.54652,0.16593,0.000947999,0.000947999,0.000947999
19,242.222,0.32058,0.47119,0.13947,0.79602,0.876,0.87999,0.62127,0.29383,0.55675,0.16171,0.000919704,0.000919704,0.000919704
20,253.971,0.32944,0.47932,0.1543,0.76986,0.88928,0.86962,0.61745,0.29524,0.56432,0.16369,0.00089141,0.00089141,0.00089141
21,265.969,0.3308,0.47083,0.14887,0.82623,0.90409,0.89024,0.63087,0.28826,0.54457,0.15927,0.000863116,0.000863116,0.000863116
22,279.108,0.31883,0.4625,0.14113,0.80867,0.88013,0.87747,0.61592,0.29319,0.55802,0.16177,0.000834822,0.000834822,0.000834822
23,290.939,0.31511,0.46141,0.14245,0.79127,0.89803,0.88361,0.63493,0.28617,0.55165,0.15768,0.000806528,0.000806528,0.000806528
24,304.119,0.31155,0.46133,0.13955,0.80638,0.89613,0.87633,0.63219,0.28642,0.55126,0.15735,0.000778233,0.000778233,0.000778233
25,316.102,0.30611,0.45166,0.1382,0.80998,0.91752,0.8923,0.637,0.29226,0.56871,0.16386,0.000749939,0.000749939,0.000749939
26,329.473,0.31982,0.45715,0.13888,0.80178,0.89767,0.87758,0.6286,0.28644,0.55159,0.1572,0.000721645,0.000721645,0.000721645
27,341.17,0.31592,0.46302,0.14373,0.77687,0.91282,0.86682,0.61354,0.28837,0.58909,0.16176,0.000693351,0.000693351,0.000693351
28,353.066,0.31206,0.45333,0.13489,0.79688,0.88198,0.87922,0.6283,0.28668,0.55445,0.15962,0.000665057,0.000665057,0.000665057
29,364.663,0.31141,0.45065,0.14318,0.78872,0.87105,0.86904,0.62614,0.29164,0.56102,0.16267,0.000636762,0.000636762,0.000636762
30,376.389,0.3038,0.4472,0.13112,0.78919,0.88121,0.86895,0.62282,0.2932,0.55431,0.16357,0.000608468,0.000608468,0.000608468
31,388.256,0.2963,0.44771,0.13111,0.81234,0.86846,0.8707,0.62417,0.29077,0.56957,0.15857,0.000580174,0.000580174,0.000580174
32,400.134,0.2968,0.44686,0.12931,0.78802,0.89306,0.87541,0.62365,0.28761,0.57435,0.15752,0.00055188,0.00055188,0.00055188
33,412.326,0.29773,0.4417,0.1301,0.78222,0.87583,0.86824,0.6165,0.29347,0.56227,0.16204,0.000523586,0.000523586,0.000523586
34,424.225,0.29599,0.43229,0.13057,0.79832,0.86968,0.87555,0.62223,0.30029,0.56931,0.1661,0.000495291,0.000495291,0.000495291
35,436.6,0.29106,0.43116,0.13173,0.78995,0.84366,0.86202,0.60544,0.3115,0.57827,0.17393,0.000466997,0.000466997,0.000466997
36,449.005,0.29954,0.43974,0.13126,0.78724,0.87963,0.86439,0.61357,0.30231,0.58334,0.16949,0.000438703,0.000438703,0.000438703
37,460.979,0.28628,0.42901,0.12265,0.81207,0.8637,0.8732,0.62775,0.3042,0.55521,0.1731,0.000410409,0.000410409,0.000410409
38,473.105,0.28903,0.42209,0.12864,0.80999,0.86773,0.87375,0.6274,0.31098,0.5592,0.17046,0.000382115,0.000382115,0.000382115
39,485.504,0.28135,0.42537,0.12367,0.7803,0.88469,0.87599,0.63186,0.30304,0.57289,0.16701,0.00035382,0.00035382,0.00035382
40,497.395,0.29034,0.42738,0.12514,0.79303,0.8824,0.8765,0.62881,0.30926,0.56413,0.17144,0.000325526,0.000325526,0.000325526
41,510.632,0.26438,0.42013,0.13575,0.83222,0.88282,0.88499,0.63594,0.3052,0.52798,0.17222,0.000297232,0.000297232,0.000297232
42,522.589,0.26331,0.41215,0.13479,0.83275,0.89214,0.89425,0.63598,0.29613,0.54493,0.16516,0.000268938,0.000268938,0.000268938
43,534.886,0.25711,0.40194,0.13225,0.82757,0.84369,0.87346,0.62512,0.30039,0.56337,0.16657,0.000240644,0.000240644,0.000240644
