epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5167,1.04664,2.33535,0.65453,0.53067,0.25804,0.2381,0.15908,0.35385,1.11322,0.20935,0.00044299,0.00044299,0.00044299
2,26.0993,0.48255,0.75924,0.23471,0.446,0.60572,0.5318,0.37983,0.36876,0.85263,0.21035,0.000882445,0.000882445,0.000882445
3,39.9347,0.45145,0.60641,0.21477,0.69595,0.84428,0.78481,0.51891,0.34709,0.60377,0.2068,0.00130379,0.00130379,0.00130379
4,53.5524,0.40341,0.56933,0.18841,0.68739,0.83739,0.79082,0.51761,0.33536,0.68906,0.18691,0.00134412,0.00134412,0.00134412
5,66.2277,0.41281,0.56035,0.1977,0.72611,0.85771,0.8443,0.5576,0.3307,0.6201,0.19273,0.00131582,0.00131582,0.00131582
6,79.9436,0.38571,0.5215,0.18225,0.68959,0.83247,0.80822,0.54118,0.33697,0.60745,0.19835,0.00128753,0.00128753,0.00128753
7,92.3316,0.38398,0.54449,0.17355,0.76064,0.86715,0.85381,0.573,0.32451,0.55219,0.18966,0.00125923,0.00125923,0.00125923
8,106.161,0.37683,0.52026,0.16801,0.76944,0.84221,0.85003,0.58895,0.31613,0.56954,0.18023,0.00123094,0.00123094,0.00123094
9,120.077,0.35241,0.52051,0.15741,0.74776,0.85517,0.83514,0.56922,0.30254,0.59784,0.1747,0.00120265,0.00120265,0.00120265
10,132.564,0.37003,0.51373,0.1627,0.78505,0.91425,0.87741,0.60863,0.29805,0.62208,0.16538,0.00117435,0.00117435,0.00117435
11,146.771,0.35403,0.51639,0.1543,0.76745,0.91797,0.88024,0.59658,0.30528,0.65124,0.16965,0.00114606,0.00114606,0.00114606
12,159.449,0.36229,0.51787,0.16824,0.80513,0.87041,0.87894,0.59246,0.30678,0.58286,0.16795,0.00111776,0.00111776,0.00111776
13,171.98,0.35008,0.50754,0.15795,0.78344,0.87981,0.87953,0.61719,0.29282,0.55246,0.16491,0.00108947,0.00108947,0.00108947
14,186.171,0.33948,0.49111,0.15428,0.75015,0.92539,0.88109,0.62289,0.29398,0.57776,0.16488,0.00106118,0.00106118,0.00106118
15,200.399,0.33388,0.49456,0.1574,0.79078,0.87633,0.88432,0.60956,0.301,0.57468,0.16762,0.00103288,0.00103288,0.00103288
16,212.787,0.33624,0.487,0.15314,0.77576,0.89048,0.87355,0.60555,0.29845,0.59874,0.16466,0.00100459,0.00100459,0.00100459
17,225.185,0.34189,0.48733,0.15099,0.77274,0.8891,0.88249,0.62278,0.29745,0.60446,0.16577,0.000976293,0.000976293,0.000976293
18,237.599,0.33428,0.48881,0.14742,0.79043,0.87748,0.89277,0.63672,0.29146,0.5803,0.16198,0.000947999,0.000947999,0.000947999
19,251.871,0.32204,0.47099,0.13929,0.80901,0.87341,0.88015,0.61725,0.30227,0.56509,0.16781,0.000919704,0.000919704,0.000919704
20,264.291,0.32433,0.47645,0.1503,0.76643,0.92145,0.87534,0.62019,0.29885,0.62359,0.16905,0.00089141,0.00089141,0.00089141
21,276.718,0.32493,0.48131,0.14591,0.82045,0.86703,0.8886,0.63859,0.2981,0.54772,0.16644,0.000863116,0.000863116,0.000863116
22,290.812,0.31853,0.4755,0.14018,0.76164,0.8912,0.87313,0.63239,0.29633,0.56113,0.16801,0.000834822,0.000834822,0.000834822
23,303.244,0.31542,0.47524,0.14112,0.8092,0.88976,0.89763,0.63201,0.30453,0.61205,0.17177,0.000806528,0.000806528,0.000806528
24,315.66,0.31513,0.46874,0.14107,0.79099,0.87727,0.88474,0.63365,0.3053,0.56442,0.17286,0.000778233,0.000778233,0.000778233
25,328.084,0.31009,0.46038,0.14006,0.79753,0.90581,0.89284,0.6424,0.29814,0.58383,0.16847,0.000749939,0.000749939,0.000749939
26,342.162,0.32458,0.46424,0.14214,0.81235,0.85653,0.88825,0.6392,0.29752,0.56996,0.1665,0.000721645,0.000721645,0.000721645
27,355.039,0.31586,0.47093,0.14368,0.76567,0.88326,0.8777,0.62675,0.31003,0.59772,0.17949,0.000693351,0.000693351,0.000693351
28,367.491,0.30953,0.4666,0.13408,0.79355,0.89417,0.89055,0.63496,0.29375,0.56878,0.16332,0.000665057,0.000665057,0.000665057
29,380.026,0.31291,0.46017,0.14268,0.77225,0.88798,0.87622,0.63056,0.30596,0.58071,0.17343,0.000636762,0.000636762,0.000636762
30,392.773,0.30291,0.45268,0.13069,0.79093,0.87865,0.87721,0.62937,0.3044,0.5586,0.17322,0.000608468,0.000608468,0.000608468
31,405.657,0.30002,0.45738,0.13337,0.78699,0.89206,0.88752,0.62848,0.30033,0.58632,0.16583,0.000580174,0.000580174,0.000580174
32,418.447,0.30055,0.45642,0.13078,0.79056,0.88286,0.88387,0.62997,0.29626,0.56219,0.16355,0.00055188,0.00055188,0.00055188
33,431.067,0.29953,0.44867,0.13095,0.79351,0.87907,0.8858,0.62363,0.30849,0.59355,0.16884,0.000523586,0.000523586,0.000523586
34,443.846,0.29924,0.43776,0.13209,0.79521,0.89841,0.90044,0.64292,0.30289,0.57232,0.16767,0.000495291,0.000495291,0.000495291
35,458.363,0.29541,0.43885,0.13381,0.79295,0.88811,0.90118,0.63455,0.3061,0.58978,0.16764,0.000466997,0.000466997,0.000466997
36,471.001,0.30054,0.44903,0.13267,0.79457,0.86289,0.88558,0.62773,0.31249,0.59305,0.17432,0.000438703,0.000438703,0.000438703
37,483.746,0.29258,0.43755,0.12549,0.79217,0.87725,0.88729,0.62704,0.3039,0.59153,0.16596,0.000410409,0.000410409,0.000410409
38,496.414,0.289,0.42961,0.12852,0.79634,0.86478,0.87873,0.63064,0.29882,0.59265,0.16559,0.000382115,0.000382115,0.000382115
39,509.175,0.28204,0.43369,0.12331,0.77504,0.89681,0.88179,0.63899,0.30226,0.61453,0.16783,0.00035382,0.00035382,0.00035382
40,521.827,0.2921,0.43107,0.12542,0.77809,0.88444,0.88433,0.62858,0.30501,0.58341,0.16932,0.000325526,0.000325526,0.000325526
41,535.953,0.26801,0.42299,0.13827,0.82324,0.85495,0.88851,0.62803,0.30485,0.55953,0.17188,0.000297232,0.000297232,0.000297232
42,548.913,0.26725,0.41739,0.13582,0.83313,0.89663,0.90207,0.63688,0.306,0.54549,0.17138,0.000268938,0.000268938,0.000268938
43,561.605,0.26108,0.41451,0.13482,0.79897,0.8942,0.8937,0.63957,0.30351,0.54604,0.1682,0.000240644,0.000240644,0.000240644
44,574.029,0.25667,0.40827,0.13027,0.8195,0.88464,0.89432,0.6338,0.30846,0.5536,0.16986,0.000212349,0.000212349,0.000212349
45,586.352,0.25705,0.41178,0.13258,0.8107,0.89459,0.89694,0.63607,0.31199,0.55637,0.17432,0.000184055,0.000184055,0.000184055
46,598.966,0.25328,0.39683,0.127,0.81902,0.88276,0.89707,0.62932,0.30746,0.56007,0.16952,0.000155761,0.000155761,0.000155761
47,611.383,0.2526,0.39201,0.12277,0.82776,0.88451,0.9016,0.63821,0.31456,0.55151,0.17433,0.000127467,0.000127467,0.000127467
48,623.704,0.24963,0.39307,0.12673,0.82274,0.86934,0.89651,0.63798,0.31372,0.54364,0.17329,9.91726e-05,9.91726e-05,9.91726e-05
49,636.054,0.24802,0.38827,0.12588,0.81792,0.87104,0.89472,0.63262,0.31353,0.55818,0.17466,7.08784e-05,7.08784e-05,7.08784e-05
50,648.326,0.24929,0.38691,0.12845,0.82236,0.87219,0.89467,0.63402,0.31266,0.56646,0.17424,4.25842e-05,4.25842e-05,4.25842e-05
