epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4121,1.15772,1.66442,0.73147,0.07333,0.18894,0.10252,0.06847,0.40538,1.58574,0.24489,0.00044299,0.00044299,0.00044299
2,30.2443,0.52709,0.82178,0.25751,0.75419,0.6033,0.5908,0.41986,0.41974,0.68567,0.2471,0.000882445,0.000882445,0.000882445
3,44.6261,0.42624,0.76576,0.20381,0.62038,0.93606,0.83527,0.52854,0.35524,0.65863,0.19946,0.00130379,0.00130379,0.00130379
4,58.0706,0.40705,0.67043,0.19081,0.68703,0.94278,0.85996,0.57052,0.32058,0.7768,0.17891,0.00134412,0.00134412,0.00134412
5,71.5438,0.41464,0.57667,0.19887,0.77501,0.90326,0.87616,0.59104,0.30778,0.56445,0.17305,0.00131582,0.00131582,0.00131582
6,85.0681,0.42701,0.55738,0.21323,0.76959,0.74011,0.7634,0.51286,0.31776,0.56521,0.18216,0.00128753,0.00128753,0.00128753
7,97.4491,0.42559,0.55568,0.20134,0.72996,0.83194,0.83311,0.55809,0.31666,0.58021,0.18122,0.00125923,0.00125923,0.00125923
8,109.919,0.39526,0.53492,0.18102,0.72193,0.78713,0.77778,0.52693,0.35418,0.63615,0.22035,0.00123094,0.00123094,0.00123094
9,122.041,0.36864,0.54068,0.17067,0.71576,0.82763,0.80368,0.54695,0.3527,0.57806,0.21342,0.00120265,0.00120265,0.00120265
10,134.071,0.37243,0.52663,0.16598,0.74602,0.91635,0.87475,0.61393,0.31183,0.57502,0.18089,0.00117435,0.00117435,0.00117435
11,147.505,0.3577,0.50436,0.15837,0.74894,0.92171,0.88636,0.61886,0.31492,0.58003,0.18072,0.00114606,0.00114606,0.00114606
12,161.362,0.35957,0.50957,0.16595,0.792,0.90549,0.88574,0.6178,0.28885,0.57432,0.16039,0.00111776,0.00111776,0.00111776
13,173.402,0.35708,0.50454,0.16207,0.82116,0.88493,0.88925,0.62043,0.29834,0.54299,0.16816,0.00108947,0.00108947,0.00108947
14,187.503,0.34431,0.49698,0.15669,0.752,0.94976,0.88598,0.62543,0.29176,0.5821,0.16179,0.00106118,0.00106118,0.00106118
15,201.019,0.3361,0.49916,0.15806,0.79604,0.91019,0.88923,0.62433,0.30238,0.58028,0.16956,0.00103288,0.00103288,0.00103288
16,213.401,0.34533,0.49267,0.15814,0.8165,0.88785,0.88878,0.6338,0.28437,0.53927,0.15592,0.00100459,0.00100459,0.00100459
17,227.414,0.34896,0.49882,0.15342,0.81506,0.88419,0.88554,0.62558,0.28922,0.55321,0.16193,0.000976293,0.000976293,0.000976293
18,239.758,0.34301,0.48842,0.15258,0.77774,0.89279,0.88273,0.61901,0.29178,0.55717,0.16371,0.000947999,0.000947999,0.000947999
19,252.113,0.33065,0.47812,0.14436,0.80874,0.88292,0.87823,0.61034,0.29747,0.56203,0.16443,0.000919704,0.000919704,0.000919704
20,264.415,0.32887,0.48849,0.15381,0.75699,0.88268,0.87709,0.62036,0.29088,0.59553,0.16516,0.00089141,0.00089141,0.00089141
21,278.063,0.32772,0.48459,0.14699,0.80971,0.89911,0.88753,0.63319,0.28166,0.54579,0.15562,0.000863116,0.000863116,0.000863116
22,290.964,0.32469,0.47471,0.14366,0.79018,0.88166,0.8742,0.61773,0.29021,0.56621,0.15944,0.000834822,0.000834822,0.000834822
23,303.358,0.32352,0.47591,0.14654,0.79894,0.91933,0.8962,0.64228,0.29371,0.57517,0.16326,0.000806528,0.000806528,0.000806528
24,317.578,0.32378,0.47845,0.14708,0.78961,0.89689,0.87803,0.61953,0.28562,0.56084,0.15461,0.000778233,0.000778233,0.000778233
25,330.033,0.31819,0.4643,0.14347,0.77473,0.91134,0.87844,0.62833,0.28588,0.58915,0.15533,0.000749939,0.000749939,0.000749939
26,342.878,0.32688,0.46979,0.14293,0.8006,0.88505,0.88144,0.63608,0.28274,0.54966,0.15557,0.000721645,0.000721645,0.000721645
27,355.649,0.31332,0.47125,0.1425,0.75986,0.89586,0.87456,0.62805,0.29077,0.60491,0.16358,0.000693351,0.000693351,0.000693351
28,368.258,0.31242,0.46294,0.13632,0.79379,0.87364,0.87824,0.62807,0.28431,0.56934,0.15903,0.000665057,0.000665057,0.000665057
29,380.913,0.31745,0.462,0.14548,0.79364,0.89605,0.88591,0.63514,0.28814,0.57845,0.16132,0.000636762,0.000636762,0.000636762
30,393.118,0.30957,0.45449,0.13493,0.79261,0.8898,0.88011,0.62669,0.28893,0.55576,0.16155,0.000608468,0.000608468,0.000608468
31,405.497,0.30759,0.45962,0.13692,0.78127,0.92177,0.88572,0.63449,0.28771,0.5715,0.1587,0.000580174,0.000580174,0.000580174
32,418.2,0.30341,0.4611,0.13107,0.80405,0.88403,0.88356,0.62775,0.28672,0.56612,0.15726,0.00055188,0.00055188,0.00055188
33,430.405,0.30095,0.45485,0.13196,0.76447,0.91991,0.88465,0.63206,0.2915,0.57346,0.15987,0.000523586,0.000523586,0.000523586
34,442.669,0.30088,0.44051,0.13245,0.81411,0.89228,0.8865,0.62545,0.29316,0.56671,0.16076,0.000495291,0.000495291,0.000495291
35,454.985,0.30152,0.44245,0.13688,0.81241,0.90056,0.88843,0.61121,0.3032,0.58914,0.16411,0.000466997,0.000466997,0.000466997
36,467.446,0.30718,0.45778,0.13498,0.8134,0.90304,0.89256,0.63322,0.30137,0.57189,0.17076,0.000438703,0.000438703,0.000438703
37,479.872,0.29704,0.44045,0.12814,0.80442,0.90011,0.89466,0.63985,0.29227,0.57498,0.16063,0.000410409,0.000410409,0.000410409
38,492.335,0.29685,0.43452,0.13301,0.80527,0.89532,0.8816,0.62632,0.29787,0.5839,0.16388,0.000382115,0.000382115,0.000382115
