epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4489,1.50264,0.83463,0.9067,0.00607,0.00651,0.00023,5e-05,1.73644,0.14869,1.43792,0.00044299,0.00044299,0.00044299
2,24.0092,1.5375,0.40109,1.1269,0.4396,0.08628,0.04935,0.01318,1.45425,0.32512,1.14557,0.000882445,0.000882445,0.000882445
3,37.8641,1.14314,0.60878,0.67721,0.42364,0.16565,0.08843,0.03278,0.7181,0.8527,0.46431,0.00130379,0.00130379,0.00130379
4,51.6412,0.9929,0.67492,0.54251,0.41249,0.43152,0.08559,0.034,0.59303,0.95998,0.3522,0.00134412,0.00134412,0.00134412
5,66.1259,0.89179,0.69775,0.46493,0.17105,0.76778,0.27345,0.09649,0.71267,0.79526,0.44362,0.00131582,0.00131582,0.00131582
6,80.0955,0.79538,0.71956,0.40729,0.13851,0.71546,0.2678,0.13336,0.4586,1.12748,0.26609,0.00128753,0.00128753,0.00128753
7,95.7567,0.76074,0.73408,0.37146,0.15454,0.63132,0.16223,0.08248,0.46758,1.07678,0.26518,0.00125923,0.00125923,0.00125923
8,108.357,0.68147,0.78622,0.31693,0.18113,0.58166,0.25996,0.11067,0.4967,1.02164,0.29926,0.00123094,0.00123094,0.00123094
9,120.102,0.63355,0.81105,0.29957,0.29069,0.61867,0.35192,0.17813,0.37088,1.08327,0.22142,0.00120265,0.00120265,0.00120265
10,134.928,0.6235,0.80189,0.29973,0.21907,0.61397,0.28575,0.17571,0.44009,0.94527,0.25904,0.00117435,0.00117435,0.00117435
11,146.861,0.58714,0.78689,0.26936,0.28198,0.47872,0.35478,0.21099,0.41046,0.91775,0.24335,0.00114606,0.00114606,0.00114606
12,160.071,0.54554,0.76948,0.26174,0.28182,0.61353,0.4031,0.25622,0.3947,0.82688,0.23396,0.00111776,0.00111776,0.00111776
13,173.233,0.54245,0.7185,0.25752,0.39538,0.59369,0.47375,0.29953,0.39516,0.7863,0.23076,0.00108947,0.00108947,0.00108947
14,186.301,0.5027,0.73204,0.24156,0.71246,0.47493,0.51686,0.33265,0.40386,0.81102,0.23818,0.00106118,0.00106118,0.00106118
15,199.668,0.47953,0.72634,0.23363,0.50203,0.54029,0.56706,0.36833,0.37348,0.73572,0.21831,0.00103288,0.00103288,0.00103288
16,212.797,0.47945,0.67983,0.22755,0.44998,0.72338,0.66177,0.40865,0.38601,0.71271,0.23384,0.00100459,0.00100459,0.00100459
17,225.994,0.47941,0.66146,0.22264,0.55465,0.73971,0.6779,0.42711,0.41074,0.74119,0.25279,0.000976293,0.000976293,0.000976293
18,239.192,0.47213,0.70078,0.2183,0.61725,0.61296,0.64379,0.3936,0.37944,0.72958,0.22935,0.000947999,0.000947999,0.000947999
19,250.939,0.46071,0.68982,0.20726,0.59803,0.6968,0.71679,0.46706,0.3615,0.6987,0.21319,0.000919704,0.000919704,0.000919704
20,264.16,0.45781,0.68104,0.2181,0.57343,0.81218,0.76249,0.49061,0.36112,0.71085,0.2095,0.00089141,0.00089141,0.00089141
21,277.326,0.44181,0.65224,0.20263,0.65864,0.8415,0.79995,0.53071,0.33855,0.62442,0.19614,0.000863116,0.000863116,0.000863116
22,290.588,0.42362,0.63672,0.19598,0.62377,0.84297,0.74573,0.50233,0.34352,0.71177,0.19955,0.000834822,0.000834822,0.000834822
23,302.422,0.42264,0.6519,0.19664,0.71574,0.73766,0.77394,0.51928,0.34997,0.73203,0.20474,0.000806528,0.000806528,0.000806528
24,314.606,0.42007,0.65579,0.1961,0.70523,0.72043,0.7924,0.51441,0.34305,0.66807,0.19902,0.000778233,0.000778233,0.000778233
25,326.747,0.40338,0.65358,0.18361,0.56889,0.85178,0.79403,0.54286,0.33017,0.76874,0.18766,0.000749939,0.000749939,0.000749939
26,340.478,0.42206,0.60314,0.1868,0.69676,0.77311,0.79718,0.54327,0.32699,0.62485,0.1822,0.000721645,0.000721645,0.000721645
27,354.27,0.41602,0.6201,0.19166,0.63995,0.79074,0.78526,0.52695,0.3604,0.6577,0.22138,0.000693351,0.000693351,0.000693351
28,366.383,0.39946,0.59992,0.18046,0.64338,0.81798,0.80487,0.54075,0.33243,0.64802,0.19139,0.000665057,0.000665057,0.000665057
29,378.79,0.39847,0.61698,0.18713,0.71139,0.76648,0.82719,0.56005,0.34439,0.64277,0.20826,0.000636762,0.000636762,0.000636762
30,392.274,0.38698,0.59201,0.17342,0.68357,0.80391,0.81049,0.55926,0.34488,0.60963,0.20118,0.000608468,0.000608468,0.000608468
31,404.524,0.38175,0.58357,0.17436,0.69129,0.8061,0.84184,0.58667,0.32514,0.62396,0.18636,0.000580174,0.000580174,0.000580174
32,418.238,0.38064,0.57364,0.16955,0.73877,0.83008,0.8654,0.59038,0.32281,0.60964,0.18349,0.00055188,0.00055188,0.00055188
33,431.877,0.37978,0.56786,0.17016,0.69851,0.86647,0.84517,0.57889,0.32094,0.64896,0.18258,0.000523586,0.000523586,0.000523586
34,444.537,0.38435,0.56943,0.17419,0.75032,0.84541,0.86796,0.5926,0.32848,0.55138,0.18744,0.000495291,0.000495291,0.000495291
35,458.26,0.37825,0.58095,0.17558,0.68844,0.86841,0.86165,0.58461,0.32288,0.65936,0.18083,0.000466997,0.000466997,0.000466997
36,470.499,0.37282,0.58685,0.16674,0.66015,0.77631,0.81261,0.56898,0.32087,0.62418,0.18367,0.000438703,0.000438703,0.000438703
37,483.12,0.36622,0.57552,0.16094,0.68189,0.84508,0.85458,0.59977,0.31811,0.61904,0.1804,0.000410409,0.000410409,0.000410409
38,497.281,0.35193,0.57113,0.15845,0.72939,0.82491,0.84024,0.59375,0.31681,0.59109,0.1825,0.000382115,0.000382115,0.000382115
39,510.523,0.3516,0.5471,0.15691,0.69578,0.83843,0.83974,0.59181,0.31217,0.61772,0.17784,0.00035382,0.00035382,0.00035382
40,522.412,0.3646,0.54907,0.16211,0.7009,0.85758,0.86464,0.61341,0.30954,0.60542,0.17721,0.000325526,0.000325526,0.000325526
41,537.077,0.31933,0.55732,0.16706,0.70757,0.80353,0.85467,0.60035,0.31417,0.56328,0.18116,0.000297232,0.000297232,0.000297232
42,548.835,0.32296,0.53601,0.17109,0.75929,0.87397,0.87668,0.62069,0.32047,0.55797,0.18542,0.000268938,0.000268938,0.000268938
43,562.219,0.32005,0.53337,0.17054,0.75443,0.87645,0.87203,0.61305,0.30901,0.53949,0.17452,0.000240644,0.000240644,0.000240644
44,573.84,0.31131,0.52411,0.16295,0.76161,0.81536,0.86948,0.61296,0.30656,0.56779,0.17355,0.000212349,0.000212349,0.000212349
45,585.467,0.31689,0.52131,0.169,0.72805,0.84319,0.87201,0.61647,0.30237,0.57428,0.16708,0.000184055,0.000184055,0.000184055
46,597.016,0.30836,0.52185,0.15969,0.78907,0.8137,0.87384,0.61428,0.30601,0.55948,0.16944,0.000155761,0.000155761,0.000155761
47,608.551,0.30495,0.51464,0.15305,0.8036,0.83306,0.8859,0.6329,0.30272,0.55823,0.16874,0.000127467,0.000127467,0.000127467
48,621.439,0.3051,0.50857,0.15992,0.74429,0.83883,0.86948,0.6183,0.30482,0.55519,0.16832,9.91726e-05,9.91726e-05,9.91726e-05
49,633.221,0.30516,0.50447,0.15804,0.78686,0.82252,0.86864,0.615,nan,nan,nan,7.08784e-05,7.08784e-05,7.08784e-05
50,644.872,0.30506,0.49859,0.1645,0.80958,0.82036,0.87855,0.62597,nan,nan,nan,4.25842e-05,4.25842e-05,4.25842e-05
