epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6581,1.59112,1.44169,1.0052,0.00018,0.00488,1e-05,0,1.71915,0.26545,1.42552,0.00044299,0.00044299,0.00044299
2,24.5889,1.65035,0.34271,1.15124,0.00372,0.09659,0.00572,0.00129,1.53217,0.36552,1.05241,0.000882445,0.000882445,0.000882445
3,38.0584,1.5964,0.32771,1.11524,0.04465,0.05713,0.01376,0.00458,1.38903,0.39514,1.25662,0.00130379,0.00130379,0.00130379
4,51.3822,1.39647,0.48675,0.94442,0.16777,0.29459,0.13115,0.04906,0.7284,0.82928,0.48182,0.00134412,0.00134412,0.00134412
5,64.8486,1.0407,0.73096,0.60975,0.48302,0.26009,0.15264,0.06279,0.62942,0.95428,0.40973,0.00131582,0.00131582,0.00131582
6,78.5761,0.91907,0.74189,0.52746,0.1846,0.33428,0.11542,0.0466,0.65292,0.9376,0.39927,0.00128753,0.00128753,0.00128753
7,90.5908,0.92221,0.72472,0.53794,0.1754,0.47471,0.17319,0.07406,nan,nan,nan,0.00125923,0.00125923,0.00125923
8,104.219,0.83356,0.76658,0.44825,0.1014,0.74684,0.17387,0.08708,0.45713,1.09979,0.26276,0.00123094,0.00123094,0.00123094
9,117.934,0.72727,0.83009,0.37652,0.16108,0.78634,0.22302,0.1273,0.48198,1.04529,0.28726,0.00120265,0.00120265,0.00120265
10,131.745,0.6875,0.83369,0.34689,0.12316,0.60244,0.16663,0.09017,0.39759,1.10661,0.23462,0.00117435,0.00117435,0.00117435
11,144.361,0.66724,0.83874,0.33032,0.12299,0.56789,0.14142,0.07622,0.38624,1.11754,0.22396,0.00114606,0.00114606,0.00114606
12,156.744,0.61544,0.90771,0.30053,0.13028,0.57217,0.16072,0.09273,0.36438,1.48477,0.20105,0.00111776,0.00111776,0.00111776
