epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5313,1.58903,1.71908,0.9608,0.0055,0.13797,0.01156,0.00218,1.15651,0.5811,0.77259,0.00044299,0.00044299,0.00044299
2,24.8979,1.58892,0.36241,1.04779,0.34248,0.00244,0.00169,0.00084,1.53094,0.27178,1.77598,0.000882445,0.000882445,0.000882445
3,38.588,1.53658,0.38378,1.22192,0.01391,0.13884,0.0061,0.00149,nan,nan,nan,0.00130379,0.00130379,0.00130379
4,50.935,1.24265,0.52155,0.77342,0.60328,0.25178,0.22734,0.09046,0.69085,0.88365,0.4548,0.00134412,0.00134412,0.00134412
5,65.1016,1.13229,0.58563,0.73926,0.21028,0.455,0.21163,0.10059,0.59906,1.01911,0.35191,0.00131582,0.00131582,0.00131582
6,78.0954,1.00299,0.68457,0.5766,0.2031,0.46569,0.17302,0.08265,0.60819,0.87429,0.3829,0.00128753,0.00128753,0.00128753
7,90.1116,0.91219,0.72139,0.50109,0.12909,0.69427,0.21665,0.12273,0.44698,1.12744,0.26875,0.00125923,0.00125923,0.00125923
8,103.205,0.8427,0.79573,0.44379,0.20015,0.65301,0.2288,0.1061,0.56442,0.97196,0.33505,0.00123094,0.00123094,0.00123094
9,114.96,0.7785,0.83568,0.40328,0.15292,0.65042,0.2032,0.11519,0.42781,1.06785,0.24324,0.00120265,0.00120265,0.00120265
10,126.665,0.79112,0.81958,0.42211,0.19015,0.61097,0.24067,0.15011,0.44775,1.08754,0.27171,0.00117435,0.00117435,0.00117435
11,140.102,0.77697,0.797,0.40653,0.13814,0.73513,0.25748,0.15997,0.39099,1.12384,0.23404,0.00114606,0.00114606,0.00114606
12,153.663,0.73369,0.8398,0.39512,0.15897,0.72858,0.19832,0.11788,0.35902,1.17987,0.2059,0.00111776,0.00111776,0.00111776
